k	min_rek	min_srk	min_gerk_ad	min_gerk_bd	max_rek	max_srk	max_gerk_ad	max_gerk_bd	median_rek	median_srk	median_gerk_ad	median_gerk_bd	quant25_rek	quant25_srk	quant25_gerk_ad	quant25_gerk_bd	quant75_rek	quant75_srk	quant75_gerk_ad	quant75_gerk_bd
1	2.21239074161749	2.46253534795222	2.46253534795222	2.46253534795222	3.68905793830658	4.33482420037347	4.33482420037347	4.33482420037347	2.82592534884271	3.17885874248317	3.17885874248317	3.17885874248317	2.65697397812645	2.90723190795687	2.90723190795687	2.90723190795687	3.0018763848609	3.3944377703005	3.3944377703005	3.3944377703005
401	2.05023045249284	2.46253534795222	2.46253534795222	2.46253534795222	3.46081736606151	4.33482420037347	4.33482420037347	4.33482420037347	2.62093838971356	3.17885874248317	3.17885874248317	3.17885874248317	2.4646921528667	2.90723190795687	2.90723190795687	2.90723190795687	2.81308601405002	3.3944377703005	3.3944377703005	3.3944377703005
801	1.98251662597783	2.46256561665452	2.46253534795222	2.46253534795222	3.29671270313035	4.33482420037347	4.33482420037347	4.33482420037347	2.51053793943959	3.17885874248317	3.17885874248317	3.17885874248317	2.33595119509146	2.90723190795687	2.90723190795687	2.90723190795687	2.6677408290242	3.3944377703005	3.3944377703005	3.3944377703005
1201	1.9760110224454	2.45729122419396	2.42997428851416	2.46253534795222	3.19880552760151	4.33482420037347	4.33482420037347	4.33482420037347	2.42145281579351	3.17378499825303	3.17885847751411	3.17885874248317	2.3298623788017	2.90723190795687	2.90723190795687	2.90723190795687	2.59623507208844	3.39554031021062	3.3944377703005	3.3944377703005
1601	1.89167483372963	2.37724515165108	2.3536053397782	2.46253534795222	3.06912835467246	4.33482420037347	4.33482420037347	4.33482420037347	2.36972846059904	3.16730339418077	3.16799579958669	3.17885874248317	2.26223983879155	2.88833383944039	2.90473287552096	2.90723190795687	2.54974989737079	3.40610739783328	3.39900948457364	3.3944377703005
2001	1.84236106935513	2.32684998113601	2.34563831233489	2.46253534795222	3.02186838138608	4.34087870671854	4.33467850605042	4.33482420037347	2.31506225100746	3.1123781012502	3.13522432915855	3.17885874248317	2.21695954757635	2.88634433539216	2.87735984226207	2.90723190795687	2.50080884280811	3.38691517744138	3.39652667571196	3.3944377703005
2401	1.79772229813951	2.29372073937793	2.30317000369799	2.46253534795222	2.93103209227922	4.29707484745161	4.27577271252292	4.33482420037347	2.29230387152467	3.06749806461605	3.12658514470509	3.17885874248317	2.14761560694027	2.86634165227617	2.89875552316958	2.90723190795687	2.49544179556694	3.3751719965983	3.3642442506588	3.3944377703005
2801	1.75351240927737	2.28195572799215	2.31534939581581	2.46253534795222	2.85885753645502	4.20546258962729	4.22287550276875	4.33482420037347	2.25004210161272	3.0768913413455	3.05944889347113	3.17885874248317	2.10665135484306	2.8198825082777	2.85723405252572	2.90723190795687	2.45917859668964	3.31068600774051	3.34706878870006	3.3944377703005
3201	1.73312189382082	2.24650863295694	2.30255054750746	2.46253534795222	2.94947783934471	4.14500909746012	4.18759214102018	4.33482420037347	2.24039656370291	3.01256720568658	3.01933376356223	3.17885874248317	2.11298467800903	2.78146342657869	2.81732211398194	2.90723190795687	2.4429423639636	3.27022803708146	3.31481066130328	3.3944377703005
3601	1.72530634481147	2.24272079528101	2.27071506837449	2.46253534795222	2.88594425057133	4.07899799447425	4.11351457708276	4.33482420037347	2.20162985142087	2.96835193768158	2.96815315751102	3.17885874248317	2.09895223901307	2.75257686222119	2.79056547266267	2.90723190795687	2.39612467944258	3.24538891283678	3.21626128392365	3.3944377703005
4001	1.73711354968916	2.22819964619995	2.24823399727794	2.46253534795222	2.88227068308051	4.04610788536174	4.08659986016224	4.33482420037347	2.19079511267122	2.95525008829019	2.95689744882928	3.17885874248317	2.09587323695388	2.73754386418343	2.7646345136868	2.90723190795687	2.3915679226333	3.2091878902466	3.20997473660492	3.3944377703005
4401	1.71491904677807	2.26511425669988	2.19478836506894	2.46253534795222	2.85603646937265	4.02174278877095	4.01549670079996	4.33482420037347	2.19183807665805	2.94245770285068	2.96902589312515	3.17885874248317	2.08349440222338	2.71420358185623	2.73802920956116	2.90723190795687	2.39517672434397	3.2058739231505	3.17122189844963	3.3944377703005
4801	1.72839561670393	2.26582490128479	2.17932163940594	2.46253534795222	2.86919568121411	3.97555368286642	3.97933533779791	4.33482420037347	2.1654389707244	2.93908218429538	2.93195559105519	3.17885874248317	2.04971420618639	2.70229323007779	2.70736222477369	2.90723190795687	2.35909093634707	3.16733646036846	3.12924283387475	3.3944377703005
5201	1.68101437376081	2.17205476255941	2.21543850305784	2.46253534795222	2.86633531778399	3.98034750763393	3.99451627249193	4.33482420037347	2.15178991567232	2.93193545655817	2.94048970975704	3.17885874248317	2.03795618381434	2.74173847823092	2.70926311771818	2.90723190795687	2.36944456289144	3.19474584934194	3.12335250198746	3.3944377703005
5601	1.72871494233246	2.12207563612833	2.18343805574637	2.46253534795222	2.82218369995173	3.95838222463236	3.98206500185892	4.33482420037347	2.15394612418989	2.94603189703178	2.90376048956995	3.17885874248317	2.02335535569516	2.68004739384098	2.6760192570395	2.90723190795687	2.34089511781242	3.18947480019673	3.07904288071473	3.3944377703005
6001	1.67225420026038	2.15172802985571	2.16953581750961	2.45367764805743	2.79029576610356	3.95285442417132	4.00350821582079	4.33482420037347	2.13689026339085	2.90473106030558	2.90595272562172	3.17885874248317	2.03335105594097	2.65682774278258	2.64338547461099	2.90723190795687	2.34149074131879	3.17387566697947	3.09092027049639	3.3944377703005
