k	min_rek	min_srk	min_gerk_ad	min_gerk_bd	max_rek	max_srk	max_gerk_ad	max_gerk_bd	median_rek	median_srk	median_gerk_ad	median_gerk_bd	quant25_rek	quant25_srk	quant25_gerk_ad	quant25_gerk_bd	quant75_rek	quant75_srk	quant75_gerk_ad	quant75_gerk_bd
1	1.9739496113199	3.67470227487783	3.67470227487783	3.67470227487783	2.61806499223208	4.69995849359111	4.69995849359111	4.69995849359111	2.29756671750729	4.20850181700874	4.20850181700874	4.20850181700874	2.19225565703472	4.07891471804522	4.07891471804522	4.07891471804522	2.36728860324623	4.36264068449755	4.36264068449755	4.36264068449755
401	1.26222756014233	3.67470227487783	3.67470227487783	3.67470227487783	1.66078898622058	4.69995849359111	4.69995849359111	4.69995849359111	1.4661043357072	4.20850181700874	4.20850181700874	4.20850181700874	1.37803576267323	4.07891471804522	4.07891471804522	4.07891471804522	1.52276271496225	4.36264068449755	4.36264068449755	4.36264068449755
801	0.907131069871398	3.67470227487783	3.67470227487783	3.67470227487783	1.24597682836038	4.69995849359111	4.69995849359111	4.69995849359111	1.09000149825248	4.19467841900635	4.20850181700874	4.20850181700874	1.05106144820893	4.07462793135978	4.07891471804522	4.07891471804522	1.1335696112409	4.36264068449755	4.36264068449755	4.36264068449755
1201	0.757041635943124	3.59768931135656	3.64208001747183	3.67470227487783	1.06085318887734	4.53519073154241	4.69995849359111	4.69995849359111	0.89423197577177	4.0974725305979	4.16298706592175	4.20850181700874	0.859397885468133	3.95242233035221	4.05152435427309	4.07891471804522	0.924123233275778	4.23860664162388	4.32475731162811	4.36264068449755
1601	0.594167800100655	3.01486554205497	3.17174679373128	3.67470227487783	0.918684676740222	4.39749730718291	4.4734304218932	4.69995849359111	0.774649173954657	3.9031915329053	3.99798401220547	4.20850181700874	0.726603615766875	3.71425480083697	3.8481671530607	4.07891471804522	0.800212028267095	4.06206480244347	4.19823573740872	4.36264068449755
2001	0.549658909807469	2.82871263893957	2.85990609028882	3.67470227487783	0.827047698693042	4.22589353878397	4.30122903652352	4.69995849359111	0.691367312172702	3.59882456476088	3.77915387149242	4.20850181700874	0.65341703050104	3.46857325466076	3.57643889593201	4.07891471804522	0.733812401102426	3.79696381689252	3.95043063968265	4.36264068449755
2401	0.462644955717611	2.56493973198392	2.64946534581503	3.67470227487783	0.741477312193355	3.88003667141409	4.07112765089486	4.69995849359111	0.649531842941878	3.2805175201021	3.46931563377804	4.20850181700874	0.619758501622183	3.01517988241014	3.19948982391775	4.07891471804522	0.671364972718342	3.49426759497901	3.67121668765322	4.36264068449755
2801	0.441657143866598	2.42969667146773	2.46702612707295	3.67470227487783	0.714032128069086	3.60649771605052	3.78765137073773	4.69995849359111	0.605890663986264	3.00966916633919	3.1828882891029	4.20850181700874	0.566561911863737	2.80599289228731	2.97767695388938	4.07891471804522	0.644756383966196	3.24032850272629	3.36609655404476	4.36264068449755
3201	0.432916027145273	2.31066782281466	2.27322443268824	3.67470227487783	0.733743990948079	3.23530726414627	3.52709585299654	4.69995849359111	0.581505637949868	2.80692948682169	2.96013055130247	4.20850181700874	0.548306558680379	2.63365220187767	2.7407804290305	4.07891471804522	0.601980211116363	2.96795806147136	3.104817086317	4.36264068449755
3601	0.40762230364033	2.21589828988422	2.10667151239685	3.67470227487783	0.636783263065004	3.09949457288034	3.1496697312307	4.69995849359111	0.541484867087146	2.62112810648674	2.70026981596502	4.20850181700874	0.516281172560419	2.46643807648973	2.51763450202338	4.07891471804522	0.577419782820808	2.77448004491959	2.89426038630958	4.36264068449755
4001	0.397838958682271	2.14803423387408	2.00163263094075	3.67470227487783	0.594438283723368	2.88894889781411	2.93002148575435	4.69995849359111	0.527975472634142	2.47799055424343	2.48836496824462	4.20850181700874	0.495996920697225	2.3947760173874	2.33681542130942	4.07891471804522	0.557321410634924	2.61252447333477	2.64668665312777	4.36264068449755
4401	0.413018496769546	2.12779295141406	1.86271850045867	3.67470227487783	0.597250264020162	2.71394910916288	2.72084382111895	4.69995849359111	0.512345603829637	2.41952104226359	2.37756950938711	4.20850181700874	0.481841528079163	2.28490832936866	2.2094586696013	4.07891471804522	0.528591623306247	2.53191114695359	2.50441149659308	4.36264068449755
4801	0.375765470023494	1.96211941015983	1.71768502873462	3.67470227487783	0.591357704275508	2.765809543734	2.57380548848144	4.69995849359111	0.492423395137156	2.33371747210574	2.20350822587923	4.20850181700874	0.462328514678735	2.20337899682861	2.07362559511313	4.07891471804522	0.530718057846352	2.45372319141695	2.36554869862683	4.36264068449755
5201	0.362069914963169	1.88948453872967	1.60571270032512	3.67470227487783	0.587917714646874	3.08149321413914	2.47065477064131	4.69995849359111	0.473681075840266	2.28452676679736	2.07517257145999	4.20850181700874	0.442443968030038	2.16048187928331	1.92992160076347	4.07891471804522	0.505767365804884	2.44904006142722	2.22794302857424	4.36264068449755
5601	0.368453112847474	1.79524097522952	1.523556138255	3.67470227487783	0.558318591473038	2.80067868742843	2.33616469609628	4.69995849359111	0.456131221108022	2.20988992972834	1.96071826690299	4.20850181700874	0.433993467196422	2.11610202949894	1.81247823727095	4.07891471804522	0.5005753717585	2.35981681469364	2.10226082274453	4.36264068449755
6001	0.327962262690634	1.84005206798431	1.45859811266285	3.67470227487783	0.540496685646821	2.58765867389504	2.22850067108712	4.69995849359111	0.452430497352913	2.13243764535315	1.86171833644901	4.20850181700874	0.414338519088775	2.00727740370874	1.72152430532048	4.07462793135978	0.486217722994051	2.30570531048593	2.00803421288196	4.33517141064965
6401	0.332814279029399	1.80767558711343	1.43686025936598	3.61574476982713	0.568924808027958	3.09230696902748	2.12632769288928	4.69995849359111	0.445678278349428	2.09549241341689	1.77355224277387	4.17322276213826	0.408363449753086	1.98830377552191	1.63215840887586	4.07220465953827	0.476115708167183	2.25321541546608	1.92462163949384	4.32475731162811
6801	0.331528231562986	1.76535970653894	1.35250641238757	3.55616004440107	0.538991168720785	2.45100398798379	2.07428061408375	4.62598357367048	0.435183502200134	2.05222304452528	1.69637430504069	4.15318509021288	0.406754026671077	1.93605941743192	1.5554437509857	4.01787004697805	0.448503270939162	2.21225870567307	1.84276537081716	4.31728047650121
