k	min_rek	min_srk	min_gerk_ad	min_gerk_bd	max_rek	max_srk	max_gerk_ad	max_gerk_bd	median_rek	median_srk	median_gerk_ad	median_gerk_bd	quant25_rek	quant25_srk	quant25_gerk_ad	quant25_gerk_bd	quant75_rek	quant75_srk	quant75_gerk_ad	quant75_gerk_bd
1	0.760183888456185	1	1	1	1.07761832405816	1	1	1	0.891305959769485	1	1	1	0.856135510597987	1	1	1	0.920584799791268	1	1	1
401	0.743632767374793	1	1	1	1.10686805232513	1	1	1	0.875561581913533	1	1	1	0.825365905963988	1	1	1	0.930944027987403	1	1	1
801	0.724372862912687	0.950024934149845	1	1	1.10491850901957	1	1	1	0.888678180991578	1	1	1	0.835082301451787	1	1	1	0.939668410157641	1	1	1
1201	0.745233389266097	0.763631919525755	0.837307347275391	1	1.12725496634812	1	1	1	0.893998616640857	0.999978019544471	1	1	0.84952397329401	0.925697916231321	1	1	0.95421008449282	1	1	1
1601	0.719542343299264	0.617935963482462	0.581577746064092	1	1.13733360064603	1	1	1	0.906162977124566	0.898226747632417	0.9466446366287	1	0.866705465114173	0.842483068139134	0.898707722718519	1	0.96391725715286	0.959738909326144	0.993880788963194	1
2001	0.759506422320464	0.509944525311114	0.518106650252528	1	1.15104336050516	0.976236577786723	1	1	0.915488926066301	0.79852573168815	0.856830113607797	1	0.867951686770999	0.747142597524059	0.802127572583166	1	0.969601979945424	0.8739492024607	0.903435335669525	1
2401	0.78289861051153	0.5194971116517	0.511786583880218	1	1.16590152881539	0.889410988192705	0.969592587455857	1	0.919935235943681	0.705697307580256	0.752508926385683	1	0.875181914674083	0.652788918053323	0.701462978956804	1	0.984597004507121	0.780506913520729	0.828278776988454	1
2801	0.781725350843023	0.462418394373805	0.46090165711918	1	1.1657813712435	0.852112202302637	0.827839200998682	1	0.931960963926865	0.66104681006326	0.673597480430525	1	0.878818034958094	0.594949731760056	0.612592414621573	1	0.995869197532365	0.720490689147677	0.726777656503476	1
3201	0.78594279818403	0.451351822661303	0.446948727001249	1	1.17045919961774	0.85699299488343	0.801573035424214	1	0.939533272684948	0.605090685328839	0.609200373381353	1	0.895476710802149	0.571512057927721	0.560728424121779	1	1.00117201244327	0.668026484926517	0.669112144399651	1
3601	0.787927502645105	0.451648304095591	0.444616498159053	1	1.16993403283798	0.921617449533161	0.752870281158977	1	0.946868283951285	0.610797010477109	0.578911378186185	1	0.889610495775748	0.562156087705021	0.531161417032656	1	1.00246996874634	0.691133282256114	0.621415357159721	1
