k	min_rek	min_srk	min_gerk_ad	min_gerk_bd	max_rek	max_srk	max_gerk_ad	max_gerk_bd	median_rek	median_srk	median_gerk_ad	median_gerk_bd	quant25_rek	quant25_srk	quant25_gerk_ad	quant25_gerk_bd	quant75_rek	quant75_srk	quant75_gerk_ad	quant75_gerk_bd
1	0.952668993998739	1	1	1	1.08505365934371	1	1	1	1.03602388136817	1	1	1	1.0152271925837	1	1	1	1.05300386789999	1	1	1
401	0.969491680722214	1	1	1	1.14139053709481	1	1	1	1.0629593778064	1	1	1	1.03571742652174	1	1	1	1.09919056132714	1	1	1
801	0.995771575578922	0.93052162376928	1	1	1.22859939662472	1	1	1	1.10542450267276	1	1	1	1.06407521087866	1	1	1	1.13170112121957	1	1	1
1201	1.01275940910482	0.808111415549982	0.884981245353269	1	1.23636126903875	1	1	1	1.14072174685199	1	1	1	1.09660809827857	1	1	1	1.18377853739865	1	1	1
1601	1.04511368084591	0.75713016043883	0.819995855366606	1	1.28296593613269	1.00345338588623	1	1	1.18275216144452	0.986558599909509	1	1	1.13677895773465	0.911960360217403	0.972621702770945	1	1.22252526090196	1	1	1
2001	1.07753212525406	0.680400668867446	0.682470887669028	1	1.32390238847125	1	1	1	1.21475945521038	0.92963478714338	0.957591478504748	1	1.1652279633507	0.857126421163862	0.871460019937931	1	1.26374993494213	0.97575501369999	1	1
2401	1.11113010227874	0.612279705116542	0.619938765653993	1	1.36941840605883	1.05648870664977	1	1	1.24129282764345	0.868534467357267	0.900249295840306	1	1.19255971104433	0.801833710832217	0.796790722741741	1	1.30137911285486	0.942092776083664	0.952870626620368	1
2801	1.13108289057966	0.525513780703768	0.562234751437122	1	1.42521938017832	1.25725153020265	1	1	1.27609935814936	0.82309128707437	0.832809330848937	1	1.22539163873254	0.761320639083804	0.759185721990763	1	1.34055727684071	0.928211854965604	0.899157454268877	1
3201	1.15515901184203	0.48950037365382	0.501661576576307	1	1.47997233344837	1.30862110484558	1	1	1.30987849669587	0.847589179226136	0.792125430981513	1	1.24854436524577	0.718682012981674	0.728420688242614	1	1.36428942377611	0.936722744986545	0.886163238711752	1
3601	1.18412153104379	0.498774072122845	0.572861946715546	1	1.51054293279076	1.16546427770363	1.02964392560087	1	1.33514739255698	0.85516863412534	0.787487026508468	1	1.27734256578764	0.764287535807495	0.709129118131057	1	1.40223068708725	0.933680530358934	0.883524951860499	1
4001	1.19996050032241	0.594153089363874	0.563229618889429	1	1.54499668108472	1.26571146782365	1.07304350267172	1	1.36575835632151	0.892746143652374	0.807309713506222	1	1.30083094749679	0.783124708151065	0.718423362246296	1	1.42470740070974	0.992403975723116	0.88812104998033	1
4401	1.21440136628025	0.645399277722665	0.606318374222226	1	1.5843251138292	1.45138002456269	1.16850376103301	1	1.38195737297456	0.927185868518189	0.813027458084877	1	1.3253477153042	0.81808594071675	0.760206343118538	1	1.45592160575401	1.05298879361101	0.898649916331195	1
4801	1.22475516884682	0.611367408356871	0.600725473552756	1	1.60107666137815	1.47687155825271	1.15452910641909	1	1.4035802194108	0.976190282444864	0.853327717630371	1	1.34288122281285	0.833308625392886	0.765573677885228	1	1.48350352423846	1.10709892991083	0.911331839820771	1
5201	1.24287571323196	0.597291478799333	0.623691994662096	0.973612791030718	1.62154654846695	1.31398062482094	1.20107860215001	1	1.42668801053637	0.996263621592604	0.870180533352911	1	1.37667629361296	0.85862925478488	0.781448979577938	1	1.50926359414332	1.05465866735743	0.909446765308906	1
5601	1.25957428209284	0.691647972582154	0.606714658215549	0.9037885845234	1.649516936999	1.65647991639975	1.2263120318501	1	1.4547475655774	1.00272325351021	0.885112371283956	1	1.39452300308563	0.909391358160401	0.813598634750831	1	1.52559846492929	1.09616226861388	0.955973501968879	1
6001	1.27068736907655	0.715249177097734	0.631377525295473	0.882850470113635	1.677691776751	1.52528309600641	1.24391838940474	1	1.47960354331077	1.0509687323611	0.905243750412795	1	1.41215709954019	0.922912008266098	0.835053407800345	1	1.54743047804931	1.21256828571861	0.949242904794723	1
6401	1.28359911758561	0.65594663410437	0.593142402077597	0.824024747008728	1.67830355379589	1.72825695786677	1.21366367466328	1	1.49040573370891	1.14347332286709	0.92412821087229	1	1.42811991034266	0.976482407079325	0.858856501697603	0.98943417177402	1.56861753209272	1.26608986035759	0.98392182809314	1
