k	min_rek	min_srk	min_gerk_ad	min_gerk_bd	max_rek	max_srk	max_gerk_ad	max_gerk_bd	median_rek	median_srk	median_gerk_ad	median_gerk_bd	quant25_rek	quant25_srk	quant25_gerk_ad	quant25_gerk_bd	quant75_rek	quant75_srk	quant75_gerk_ad	quant75_gerk_bd
1	1.72158108095909	3.28708123087217	3.28708123087217	3.28708123087217	2.55170269340684	4.26602456222704	4.26602456222704	4.26602456222704	2.12650576247523	3.80902272965381	3.80902272965381	3.80902272965381	2.01075821625149	3.6716182108112	3.6716182108112	3.6716182108112	2.21294805288143	3.93500862653563	3.93500862653563	3.93500862653563
401	1.12342352270626	3.28708123087217	3.28708123087217	3.28708123087217	1.67820143605427	4.26602456222704	4.26602456222704	4.26602456222704	1.39662188771814	3.80902272965381	3.80902272965381	3.80902272965381	1.28419207756496	3.6716182108112	3.6716182108112	3.6716182108112	1.49647132935721	3.93500862653563	3.93500862653563	3.93500862653563
801	0.885881154107688	3.23634972165294	3.28708123087217	3.28708123087217	1.3124448901942	4.26602456222704	4.26602456222704	4.26602456222704	1.06307785662742	3.80902272965381	3.80902272965381	3.80902272965381	1.00836535312407	3.6716182108112	3.6716182108112	3.6716182108112	1.12653341324788	3.93500862653563	3.93500862653563	3.93500862653563
1201	0.712489628354575	3.15233436851069	3.26986424748157	3.28708123087217	1.08864283729526	4.18091634623646	4.26602456222704	4.26602456222704	0.897980975052764	3.76970888679336	3.80118117739218	3.80902272965381	0.840282318006307	3.66486845863919	3.6716182108112	3.6716182108112	0.930743839649534	3.87804720681789	3.93500862653563	3.93500862653563
1601	0.680530897225886	2.9970234145943	3.1591332419631	3.28708123087217	0.93477517601878	4.18091634623646	4.22806120287015	4.26602456222704	0.789388498907219	3.68699975943513	3.76488269974837	3.80902272965381	0.749333229987198	3.52112922774473	3.63517759729705	3.6716182108112	0.839915642572648	3.84221099481442	3.86942033641194	3.93500862653563
2001	0.605939728724816	2.77788615833409	2.82834355269136	3.28708123087217	0.865929149583162	4.0866896689298	4.18091634623646	4.26602456222704	0.721245549524438	3.5180267602917	3.62452430799891	3.80902272965381	0.673133666601068	3.24059716165506	3.37720670680216	3.6716182108112	0.765165975785236	3.66386900106243	3.78955468229208	3.93500862653563
2401	0.53130525282237	2.58163824422518	2.46264051759165	3.28708123087217	0.895189304640594	3.90465155548886	4.17145217371566	4.26602456222704	0.673247054806725	3.22811970464347	3.3603161714056	3.80902272965381	0.607393462003393	3.05647597852308	3.11735037352286	3.6716182108112	0.716277175588199	3.50920491780333	3.56960657738385	3.93500862653563
2801	0.497156477642454	2.34847069598232	2.28652729661188	3.28708123087217	0.816347277134632	3.66504339966164	4.03972453319141	4.26602456222704	0.624734602922398	3.06457180395421	3.14128437057164	3.80902272965381	0.57821687257981	2.80077823632533	2.9437841570865	3.6716182108112	0.667237675683403	3.26524340384333	3.37859819565716	3.93500862653563
3201	0.463627416590325	2.12570736181107	2.14253948174077	3.28708123087217	0.748359132911522	3.59151488133622	3.73057506215096	4.26602456222704	0.602712060493908	2.85610918033868	2.93877224397753	3.80902272965381	0.564158493573119	2.64481575589668	2.66299735007794	3.6716182108112	0.651019095051916	3.06991524493188	3.13444143055053	3.93500862653563
3601	0.435992741062745	2.05465163228687	1.9452050438442	3.28708123087217	0.73864091575166	3.57224829873267	3.56263883371432	4.26602456222704	0.572124486831123	2.71322135601595	2.72922305650184	3.80902272965381	0.517080417280338	2.52214707455045	2.47407661008655	3.6716182108112	0.612446822765781	2.90116587878166	2.95830472984321	3.93500862653563
