k	min_rek	min_srk	min_gerk_ad	max_rek	max_srk	max_gerk_ad	median_rek	median_srk	median_gerk_ad	quant25_rek	quant25_srk	quant25_gerk_ad	quant75_rek	quant75_srk	quant75_gerk_ad
1	0.969378034831584	1	1	0.993012698827306	1	1	0.9815914963788	1	1	0.97705107632309	1	1	0.984759812335974	1	1
101	0.932133882272739	1	1	0.972463494723442	1	1	0.949641021179072	1	1	0.940101046828849	1	1	0.955310568573181	1	1
201	0.8996475705008	0.969028735391141	1	0.939343862955338	1	1	0.922582598429285	1	1	0.913861124531188	1	1	0.929223497212883	1	1
301	0.87709040650176	0.958148471838591	1	0.919282998466661	1.00314077022595	1	0.899879519643615	1	1	0.890163781790923	1	1	0.90720623336568	1	1
401	0.860285556718354	0.96464334533359	1	0.900722724714232	1.00123299965228	1	0.880942763712689	1	1	0.873494722389031	1	1	0.888701541606917	1	1
501	0.844212779824393	0.921624141179686	1	0.890117052880349	1.01160784895622	1	0.86486582288757	1	1	0.857124139511113	0.994540369775591	1	0.87356877633164	1	1
601	0.831226502607678	0.893900153238057	1	0.882148617273593	1.02545332288344	1	0.853090727578189	0.994916934158337	1	0.846275560686935	0.982376866976644	1	0.862452343390166	1	1
701	0.818203983926292	0.880492511899201	0.94529316789991	0.873802434136523	1.03382129112751	1	0.8438826090352	0.97330600147474	1	0.836016403366541	0.952867924907941	1	0.853662716297798	0.999654487572227	1
801	0.805358259023915	0.841135776892149	0.895722647807601	0.867185759378313	1.02864824932453	1	0.835295005143453	0.963993729550067	1	0.827263171863216	0.93277175856083	1	0.845233410354353	0.98973431008134	1
901	0.794457871317814	0.857236001590414	0.821797660750996	0.862370931862912	1.0611498728828	1	0.826621039465947	0.959734313728461	1	0.819969662559156	0.926345607489121	0.976180065831818	0.838626271239291	0.994167698923228	1
1001	0.78589579984588	0.832605711651496	0.770017234698852	0.857201709311603	1.08847433197433	1	0.820052706926818	0.947125231901798	0.980278180432794	0.812255005312563	0.911973368341311	0.941982252320156	0.832406823885091	0.987294597102764	1
1101	0.778312589928218	0.828494721093679	0.706780955668063	0.853381671713122	1.10886186347673	1	0.815138299682287	0.937721530514564	0.952665253813494	0.806913475076372	0.894910239854361	0.904043935807517	0.827553682421334	0.986997390875314	0.98785377308299
1201	0.77271968243851	0.818675683486401	0.671520952854193	0.849613641981944	1.05438627336569	1	0.810911048086844	0.946417028064253	0.923133970815928	0.802622912794984	0.881151587528832	0.869291583398281	0.823030956455753	0.991999578830604	0.959684252572206
1301	0.769022682993241	0.72935646317512	0.625076498820836	0.847001915612114	1.12171197495305	0.980276423996914	0.806765231167682	0.931226993893116	0.876504119357894	0.798427926266561	0.8579273698531	0.843476194812888	0.818114867848759	0.994328199459561	0.922281054176391
1401	0.764809005902316	0.716817649994855	0.588078655695462	0.843803984836923	1.15182128668315	0.956883267099101	0.80318086893866	0.938092014999558	0.8467282642965	0.794637188774494	0.870593608000122	0.795872113701532	0.814412532093269	0.99882549551904	0.886481178724991
1501	0.760693100294675	0.703698020144935	0.557808983246421	0.840374973976674	1.18481665770964	0.936133262856947	0.800627608719652	0.945441103292145	0.792746443864583	0.791356221011801	0.876758410791722	0.748290389710276	0.811924559676779	1.00355441848358	0.853279899871247
