k	min_rek	min_srk	min_gerk_ad	max_rek	max_srk	max_gerk_ad	median_rek	median_srk	median_gerk_ad	quant25_rek	quant25_srk	quant25_gerk_ad	quant75_rek	quant75_srk	quant75_gerk_ad
1	0.856416686021033	1	1	0.944568354877115	1	1	0.913820999765378	1	1	0.897468487824978	1	1	0.929615351390692	1	1
101	0.705124793972022	1	1	0.841416823706997	1	1	0.774796043303086	1	1	0.74873118781423	1	1	0.79878696081827	1	1
201	0.595631462731205	0.96550224531297	1	0.71604509528874	1	1	0.654422821754281	1	1	0.62952755076739	1	1	0.6789775184569	1	1
301	0.494121912824415	0.936886435304856	1	0.612097205410083	1	1	0.565390246293676	1	1	0.546370230020861	1	1	0.582388586921409	1	1
401	0.442432495163918	0.929734777168678	1	0.522972989882099	1	1	0.498460064380992	1	1	0.485742928131228	1	1	0.507101482075242	1	1
501	0.389594750310553	0.882372955326576	1	0.484953219642215	1.00238884070502	1	0.446412298199134	0.999552141964702	1	0.427248080620221	0.986365664959752	1	0.453820215292679	1	1
601	0.346335758473333	0.844174670052639	1	0.434446208581289	1	1	0.396712506138396	0.981589945768967	1	0.374237578489545	0.9680182123403	1	0.405589695042458	0.998536234716592	1
701	0.321379018136873	0.835380036381005	0.937745549145149	0.405445359428237	1.00232387379245	1	0.357708919576194	0.95540265136935	1	0.337006064090084	0.928394700753837	1	0.365999333658969	0.987637851439607	1
801	0.281283018581613	0.813285143297266	0.881550195675138	0.35958057305577	1	1	0.325794579057871	0.923521834418659	1	0.307570171954809	0.888492312722095	1	0.334635622692841	0.961795976666813	1
901	0.260660663468404	0.80290118439153	0.795485258615562	0.325605168107439	1.02330258598361	1	0.296461430636133	0.910688617955953	1	0.286424130115618	0.8693564702195	0.973526447390497	0.304600736103264	0.95922578793575	1
1001	0.237929415047278	0.790405701331099	0.737108089258738	0.31105675198687	1.02229297882879	1	0.275005551216193	0.90034467468092	0.977076044143148	0.263916620133048	0.853814523261047	0.93105039713121	0.284285620711348	0.936894471637728	1
1101	0.224954090941053	0.779595264314226	0.659873283292174	0.287689413451014	1.0425808404925	1	0.25397440394059	0.878402640784129	0.943835829562791	0.246318036168454	0.839653616454496	0.889268289237921	0.265363628110513	0.922895989884172	0.985384801966725
1201	0.208349551383613	0.770851556868244	0.615463813111865	0.269459084414737	1.09530801764693	1	0.237356741276921	0.87575449422827	0.903629674930241	0.229811503703827	0.818131458550552	0.853841019202855	0.247678369591909	0.926870695637726	0.952047715730513
